participant_id,order,phase,task,viewing_condition,difficulty
"1","1","training","denoising","exo","easy"
"1","2","training","denoising","exo","easy"
"1","3","training","denoising","exo","medium"
"1","4","test","denoising","exo","hard"
"1","5","test","denoising","exo","medium"
"1","6","test","denoising","exo","hard"
"1","7","test","denoising","exo","easy"
"1","8","test","denoising","exo","hard"
"1","9","test","denoising","exo","easy"
"1","10","test","denoising","exo","easy"
"1","11","test","denoising","exo","hard"
"1","12","test","denoising","exo","easy"
"1","13","test","denoising","exo","medium"
"1","14","test","denoising","exo","medium"
"1","15","test","denoising","exo","medium"
"1","16","test","denoising","exo","medium"
"1","17","test","denoising","exo","easy"
"1","18","test","denoising","exo","hard"
"1","19","training","denoising","ego","easy"
"1","20","training","denoising","ego","easy"
"1","21","training","denoising","ego","medium"
"1","22","test","denoising","ego","medium"
"1","23","test","denoising","ego","easy"
"1","24","test","denoising","ego","hard"
"1","25","test","denoising","ego","hard"
"1","26","test","denoising","ego","hard"
"1","27","test","denoising","ego","easy"
"1","28","test","denoising","ego","easy"
"1","29","test","denoising","ego","medium"
"1","30","test","denoising","ego","easy"
"1","31","test","denoising","ego","medium"
"1","32","test","denoising","ego","hard"
"1","33","test","denoising","ego","medium"
"1","34","test","denoising","ego","medium"
"1","35","test","denoising","ego","hard"
"1","36","test","denoising","ego","easy"
"1","37","training","cluster_distinction","exo","easy"
"1","38","training","cluster_distinction","exo","easy"
"1","39","training","cluster_distinction","exo","medium"
"1","40","test","cluster_distinction","exo","easy"
"1","41","test","cluster_distinction","exo","medium"
"1","42","test","cluster_distinction","exo","medium"
"1","43","test","cluster_distinction","exo","easy"
"1","44","test","cluster_distinction","exo","easy"
"1","45","test","cluster_distinction","exo","hard"
"1","46","test","cluster_distinction","exo","easy"
"1","47","test","cluster_distinction","exo","hard"
"1","48","test","cluster_distinction","exo","easy"
"1","49","test","cluster_distinction","exo","medium"
"1","50","test","cluster_distinction","exo","hard"
"1","51","test","cluster_distinction","exo","hard"
"1","52","test","cluster_distinction","exo","medium"
"1","53","test","cluster_distinction","exo","medium"
"1","54","test","cluster_distinction","exo","hard"
"1","55","training","cluster_distinction","ego","easy"
"1","56","training","cluster_distinction","ego","easy"
"1","57","training","cluster_distinction","ego","medium"
"1","58","test","cluster_distinction","ego","easy"
"1","59","test","cluster_distinction","ego","hard"
"1","60","test","cluster_distinction","ego","easy"
"1","61","test","cluster_distinction","ego","medium"
"1","62","test","cluster_distinction","ego","easy"
"1","63","test","cluster_distinction","ego","hard"
"1","64","test","cluster_distinction","ego","easy"
"1","65","test","cluster_distinction","ego","hard"
"1","66","test","cluster_distinction","ego","medium"
"1","67","test","cluster_distinction","ego","hard"
"1","68","test","cluster_distinction","ego","medium"
